Point,IDT_ms,X_Fuel,X_O2,X_N2,X_Ar,X_He,P,T,Formula_C,Formula_H,n-C7,n-C8,n-C9,n-C10,n-C11,n-C12,n-C13,n-C14,n-C15,n-C16,n-C17,n-C18,i-C7,i-C8,i-C9,i-C10,i-C11,i-C12,i-C13,i-C14,i-C15,i-C16,i-C17,i-C18,mono-c-C7,mono-c-C8,mono-c-C9,mono-c-C10,mono-c-C11,mono-c-C12,mono-c-C13,mono-c-C14,mono-c-C15,mono-c-C16,mono-c-C17,mono-c-C18,poly-c-C7,poly-c-C8,poly-c-C9,poly-c-C10,poly-c-C11,poly-c-C12,poly-c-C13,poly-c-C14,poly-c-C15,poly-c-C16,poly-c-C17,poly-c-C18,aro-C7,aro-C8,aro-C9,aro-C10,aro-C11,aro-C12,aro-C13,aro-C14,aro-C15,aro-C16,aro-C17,aro-C18
1,1.62,0.61,20.87,78.52,0,0,1.96,1091.5,11.09,20.07,0.125443965,0.892518299,1.917346145,4.112668192,5.674978782,4.339455906,2.826243336,1.587329303,0.535539797,0.128825211,0.04560567,0.011447213,0,0.381336641,1.884596278,5.654532812,5.710325146,5.16496698,4.569848379,3.523663014,1.574777036,0.327110614,0.09020172,0.016819237,0.427271422,0.171494009,1.064511094,3.831312576,3.241475148,6.728348951,4.275976074,4.404765474,1.73157586,0.601664143,0.186184954,0.035755875,0,0.05623656,0.692479492,1.726181944,3.059042716,2.505972889,1.795238052,0.771341583,0.289584147,0.034313735,0,0,0.072674886,0.540176762,1.264661873,1.934604914,1.409193067,1.094240557,0.686978125,0.525502813,0.14246388,0.010538457,0,0
2,0.992,0.61,20.87,78.52,0,0,2.06,1157.9,11.09,20.07,0.125443965,0.892518299,1.917346145,4.112668192,5.674978782,4.339455906,2.826243336,1.587329303,0.535539797,0.128825211,0.04560567,0.011447213,0,0.381336641,1.884596278,5.654532812,5.710325146,5.16496698,4.569848379,3.523663014,1.574777036,0.327110614,0.09020172,0.016819237,0.427271422,0.171494009,1.064511094,3.831312576,3.241475148,6.728348951,4.275976074,4.404765474,1.73157586,0.601664143,0.186184954,0.035755875,0,0.05623656,0.692479492,1.726181944,3.059042716,2.505972889,1.795238052,0.771341583,0.289584147,0.034313735,0,0,0.072674886,0.540176762,1.264661873,1.934604914,1.409193067,1.094240557,0.686978125,0.525502813,0.14246388,0.010538457,0,0
3,0.815,0.61,20.87,78.52,0,0,2.03,1210,11.09,20.07,0.125443965,0.892518299,1.917346145,4.112668192,5.674978782,4.339455906,2.826243336,1.587329303,0.535539797,0.128825211,0.04560567,0.011447213,0,0.381336641,1.884596278,5.654532812,5.710325146,5.16496698,4.569848379,3.523663014,1.574777036,0.327110614,0.09020172,0.016819237,0.427271422,0.171494009,1.064511094,3.831312576,3.241475148,6.728348951,4.275976074,4.404765474,1.73157586,0.601664143,0.186184954,0.035755875,0,0.05623656,0.692479492,1.726181944,3.059042716,2.505972889,1.795238052,0.771341583,0.289584147,0.034313735,0,0,0.072674886,0.540176762,1.264661873,1.934604914,1.409193067,1.094240557,0.686978125,0.525502813,0.14246388,0.010538457,0,0
4,0.619,0.61,20.87,78.52,0,0,1.98,1255.6,11.09,20.07,0.125443965,0.892518299,1.917346145,4.112668192,5.674978782,4.339455906,2.826243336,1.587329303,0.535539797,0.128825211,0.04560567,0.011447213,0,0.381336641,1.884596278,5.654532812,5.710325146,5.16496698,4.569848379,3.523663014,1.574777036,0.327110614,0.09020172,0.016819237,0.427271422,0.171494009,1.064511094,3.831312576,3.241475148,6.728348951,4.275976074,4.404765474,1.73157586,0.601664143,0.186184954,0.035755875,0,0.05623656,0.692479492,1.726181944,3.059042716,2.505972889,1.795238052,0.771341583,0.289584147,0.034313735,0,0,0.072674886,0.540176762,1.264661873,1.934604914,1.409193067,1.094240557,0.686978125,0.525502813,0.14246388,0.010538457,0,0
5,0.24,0.61,20.87,78.52,0,0,2.08,1327.2,11.09,20.07,0.125443965,0.892518299,1.917346145,4.112668192,5.674978782,4.339455906,2.826243336,1.587329303,0.535539797,0.128825211,0.04560567,0.011447213,0,0.381336641,1.884596278,5.654532812,5.710325146,5.16496698,4.569848379,3.523663014,1.574777036,0.327110614,0.09020172,0.016819237,0.427271422,0.171494009,1.064511094,3.831312576,3.241475148,6.728348951,4.275976074,4.404765474,1.73157586,0.601664143,0.186184954,0.035755875,0,0.05623656,0.692479492,1.726181944,3.059042716,2.505972889,1.795238052,0.771341583,0.289584147,0.034313735,0,0,0.072674886,0.540176762,1.264661873,1.934604914,1.409193067,1.094240557,0.686978125,0.525502813,0.14246388,0.010538457,0,0
6,0.171,0.61,20.87,78.52,0,0,1.96,1386.3,11.09,20.07,0.125443965,0.892518299,1.917346145,4.112668192,5.674978782,4.339455906,2.826243336,1.587329303,0.535539797,0.128825211,0.04560567,0.011447213,0,0.381336641,1.884596278,5.654532812,5.710325146,5.16496698,4.569848379,3.523663014,1.574777036,0.327110614,0.09020172,0.016819237,0.427271422,0.171494009,1.064511094,3.831312576,3.241475148,6.728348951,4.275976074,4.404765474,1.73157586,0.601664143,0.186184954,0.035755875,0,0.05623656,0.692479492,1.726181944,3.059042716,2.505972889,1.795238052,0.771341583,0.289584147,0.034313735,0,0,0.072674886,0.540176762,1.264661873,1.934604914,1.409193067,1.094240557,0.686978125,0.525502813,0.14246388,0.010538457,0,0
7,0.121,0.61,20.87,78.52,0,0,2.01,1457.9,11.09,20.07,0.125443965,0.892518299,1.917346145,4.112668192,5.674978782,4.339455906,2.826243336,1.587329303,0.535539797,0.128825211,0.04560567,0.011447213,0,0.381336641,1.884596278,5.654532812,5.710325146,5.16496698,4.569848379,3.523663014,1.574777036,0.327110614,0.09020172,0.016819237,0.427271422,0.171494009,1.064511094,3.831312576,3.241475148,6.728348951,4.275976074,4.404765474,1.73157586,0.601664143,0.186184954,0.035755875,0,0.05623656,0.692479492,1.726181944,3.059042716,2.505972889,1.795238052,0.771341583,0.289584147,0.034313735,0,0,0.072674886,0.540176762,1.264661873,1.934604914,1.409193067,1.094240557,0.686978125,0.525502813,0.14246388,0.010538457,0,0
8,0.084,0.61,20.87,78.52,0,0,2.16,1501,11.09,20.07,0.125443965,0.892518299,1.917346145,4.112668192,5.674978782,4.339455906,2.826243336,1.587329303,0.535539797,0.128825211,0.04560567,0.011447213,0,0.381336641,1.884596278,5.654532812,5.710325146,5.16496698,4.569848379,3.523663014,1.574777036,0.327110614,0.09020172,0.016819237,0.427271422,0.171494009,1.064511094,3.831312576,3.241475148,6.728348951,4.275976074,4.404765474,1.73157586,0.601664143,0.186184954,0.035755875,0,0.05623656,0.692479492,1.726181944,3.059042716,2.505972889,1.795238052,0.771341583,0.289584147,0.034313735,0,0,0.072674886,0.540176762,1.264661873,1.934604914,1.409193067,1.094240557,0.686978125,0.525502813,0.14246388,0.010538457,0,0
9,0.077,0.61,20.87,78.52,0,0,2.04,1516.1,11.09,20.07,0.125443965,0.892518299,1.917346145,4.112668192,5.674978782,4.339455906,2.826243336,1.587329303,0.535539797,0.128825211,0.04560567,0.011447213,0,0.381336641,1.884596278,5.654532812,5.710325146,5.16496698,4.569848379,3.523663014,1.574777036,0.327110614,0.09020172,0.016819237,0.427271422,0.171494009,1.064511094,3.831312576,3.241475148,6.728348951,4.275976074,4.404765474,1.73157586,0.601664143,0.186184954,0.035755875,0,0.05623656,0.692479492,1.726181944,3.059042716,2.505972889,1.795238052,0.771341583,0.289584147,0.034313735,0,0,0.072674886,0.540176762,1.264661873,1.934604914,1.409193067,1.094240557,0.686978125,0.525502813,0.14246388,0.010538457,0,0
10,0.046,0.61,20.87,78.52,0,0,2.06,1585.2,11.09,20.07,0.125443965,0.892518299,1.917346145,4.112668192,5.674978782,4.339455906,2.826243336,1.587329303,0.535539797,0.128825211,0.04560567,0.011447213,0,0.381336641,1.884596278,5.654532812,5.710325146,5.16496698,4.569848379,3.523663014,1.574777036,0.327110614,0.09020172,0.016819237,0.427271422,0.171494009,1.064511094,3.831312576,3.241475148,6.728348951,4.275976074,4.404765474,1.73157586,0.601664143,0.186184954,0.035755875,0,0.05623656,0.692479492,1.726181944,3.059042716,2.505972889,1.795238052,0.771341583,0.289584147,0.034313735,0,0,0.072674886,0.540176762,1.264661873,1.934604914,1.409193067,1.094240557,0.686978125,0.525502813,0.14246388,0.010538457,0,0
11,2.388,0.61,20.87,78.52,0,0,10.5,1070.7,11.09,20.07,0.125443965,0.892518299,1.917346145,4.112668192,5.674978782,4.339455906,2.826243336,1.587329303,0.535539797,0.128825211,0.04560567,0.011447213,0,0.381336641,1.884596278,5.654532812,5.710325146,5.16496698,4.569848379,3.523663014,1.574777036,0.327110614,0.09020172,0.016819237,0.427271422,0.171494009,1.064511094,3.831312576,3.241475148,6.728348951,4.275976074,4.404765474,1.73157586,0.601664143,0.186184954,0.035755875,0,0.05623656,0.692479492,1.726181944,3.059042716,2.505972889,1.795238052,0.771341583,0.289584147,0.034313735,0,0,0.072674886,0.540176762,1.264661873,1.934604914,1.409193067,1.094240557,0.686978125,0.525502813,0.14246388,0.010538457,0,0
12,0.643,0.61,20.87,78.52,0,0,10.9,1109.6,11.09,20.07,0.125443965,0.892518299,1.917346145,4.112668192,5.674978782,4.339455906,2.826243336,1.587329303,0.535539797,0.128825211,0.04560567,0.011447213,0,0.381336641,1.884596278,5.654532812,5.710325146,5.16496698,4.569848379,3.523663014,1.574777036,0.327110614,0.09020172,0.016819237,0.427271422,0.171494009,1.064511094,3.831312576,3.241475148,6.728348951,4.275976074,4.404765474,1.73157586,0.601664143,0.186184954,0.035755875,0,0.05623656,0.692479492,1.726181944,3.059042716,2.505972889,1.795238052,0.771341583,0.289584147,0.034313735,0,0,0.072674886,0.540176762,1.264661873,1.934604914,1.409193067,1.094240557,0.686978125,0.525502813,0.14246388,0.010538457,0,0
